OneTwoReturn_RMA::selectOrder,Wahlen Sie eine Bestellung aus
OneTwoReturn_RMA::notLoggedIn,Sie sind nicht eingeloggt!
OneTwoReturn_RMA::postcodeDoesNotMatch,Die PLZ stimmt nicht mit der der Bestellung überein
OneTwoReturn_RMA::orderDoesNotExists,Die Bestellung existiert nicht
OneTwoReturn_RMA::noOrdersAvailable,Es gibt zurzeit keine Bestellungen, welche retourniert werden können
OneTwoReturn_RMA::notFilledInRequiredInfo,Geben Sie alle Informationen ein.
OneTwoReturn_RMA::orderCanNotBeReturned,Produkte dieser Bestellung können nicht retourniert werden
OneTwoReturn_RMA::selectProducts,Wahlen Sie die Produkte aus die retourniert werden
OneTwoReturn_RMA::order,Bestellung
OneTwoReturn_RMA::datum,Datum
OneTwoReturn_RMA::Postcode,PLZ
OneTwoReturn_RMA::Verder,Weiter
OneTwoReturn_RMA::orderNummer,Bestellnummer
OneTwoReturn_RMA::verstuur,Versenden
OneTwoReturn_RMA::orderNotCompleted,Diese Bestellung ist nicht komplett
OneTwoReturn_RMA::systemError,Es ist ein unbekanntes Problem aufgetreten, versuchen Sie es erneut
OneTwoReturn_RMA::SelectAProduct,Sie müssen ein Produkt auswahlen
OneTwoReturn_RMA::MiniumQuantity,Sie müssen mindestens 1 Produkt retournieren
OneTwoReturn_RMA::MaxiumQuantity,Sie können nicht mehr Produkte retournieren, als Sie bestellt haben
OneTwoReturn_RMA::noProductsAvailable,Bei dieser Bestellung sind keine Produkte verfügbar
OneTwoReturn_RMA::Prijsperstuk,Preis pro Stück
OneTwoReturn_RMA::Aantal,Anzahl
OneTwoReturn_RMA::Subtotaal,Zwischensumme 
OneTwoReturn_RMA::Verder,Weiter
OneTwoReturn_RMA::CurlError,Bei der Verbindungsherstellung mit der Programmierschnittstelle ist ein Fehler aufgetreten: 
OneTwoReturn_RMA::missingField,Nicht alle benotigten Daten sind bei diesem Produkt gespeichert, bitten Sie Ihren Verwalter, folgende Daten hinzuzufügen: 
OneTwoReturn_RMA::MissingFormField,Bei dieser Frage muss eine Antwort eingegeben werden: 
OneTwoReturn_RMA::requiredFields,Diese Felder sind Pflichtfelder 
OneTwoReturn_RMA::RetourInformatie,Retourinformation
OneTwoReturn_RMA::KlantGegevens,Kundendaten
OneTwoReturn_RMA::Naam,Name
OneTwoReturn_RMA::Stad,Stadt
OneTwoReturn_RMA::Adres,Adresse
OneTwoReturn_RMA::Telefoon,Telefon
OneTwoReturn_RMA::Postcode,PLZ
OneTwoReturn_RMA::Fax,Fax
OneTwoReturn_RMA::Email,E-Mail
OneTwoReturn_RMA::Mobiel,Mobil
OneTwoReturn_RMA::Land,Land
OneTwoReturn_RMA::Nederland,Niederlande
OneTwoReturn_RMA::Bedrijf,Betrieb
OneTwoReturn_RMA::ServiceKosten,Servicekosten
OneTwoReturn_RMA::Voorwaarden,Bedingungen
OneTwoReturn_RMA::acceptTerms,Ich akzeptiere die Bedingungen
OneTwoReturn_RMA::TotaleKosten,Gesamtkosten
OneTwoReturn_RMA::selecteer,Ausw&auml
OneTwoReturn_RMA::Straat,Straße
OneTwoReturn_RMA::Huisnummer,Hausnummer
OneTwoReturn_RMA::RetourKosten,Retourkosten
OneTwoReturn_RMA::FieldToLong,Das folgende Feld ist zu lang: 
OneTwoReturn_RMA::WrongSyntax,Das folgende Feld enth&auml
OneTwoReturn_RMA::RecoveryAmount,Retourbetrag, zur Indikation ist keine Bezahlung erforderlich
OneTwoReturn_RMA::Vervoerders,Transporteure
OneTwoReturn_RMA::ErrorCallingReturnOptions,Es ist ein Fehler beim Aufrufen der Transporteure aufgetreten
OneTwoReturn_RMA::ReturnIdMissing,Mit der mitgegebenen ID stimmt etwas nicht
OneTwoReturn_RMA::orderNotValidForRma,Um Produkte zu retournieren, muss der Betreiber dies zuerst für die betreffende Bestellung ermächtigen
OneTwoReturn_RMA::notValidCountry,Sie haben ein Produkt in einem Land bestellt, das nicht von unserem automatischen Retourprozedur unterstützt wird
OneTwoReturn_RMA::Checkout,Checkout
